covariate,smd,abs_smd
num_direct_dependencies,0.012301644602357734,0.012301644602357734
num_pinned_dependencies,0.121349083318419,0.121349083318419
num_floating_dependencies,0.0685460550312931,0.0685460550312931
total_version_releases,0.28550591443302165,0.28550591443302165
release_frequency_days,0.0847260500733055,0.0847260500733055
github_stars,0.2096609243750972,0.2096609243750972
github_forks,0.1864512363738817,0.1864512363738817
github_commits,0.3917115596530067,0.3917115596530067
github_maintainers,0.3550889125402159,0.3550889125402159
scorecard_overall_score,0.0858468756463332,0.0858468756463332
ecosystem_pypi,-0.23099941817994463,0.23099941817994463
