covariate,smd,abs_smd
num_direct_dependencies,0.015055431192189089,0.015055431192189089
num_pinned_dependencies,0.12705419194411222,0.12705419194411222
num_floating_dependencies,0.06621876712923505,0.06621876712923505
total_version_releases,0.2869981592847379,0.2869981592847379
release_frequency_days,0.08939677566373076,0.08939677566373076
github_stars,0.20652390733907583,0.20652390733907583
github_forks,0.18363767745835094,0.18363767745835094
github_commits,0.38399102212171443,0.38399102212171443
github_maintainers,0.34084821948684846,0.34084821948684846
scorecard_overall_score,0.08045743427182679,0.08045743427182679
ecosystem_pypi,-0.2293376229586493,0.2293376229586493
