covariate,smd,abs_smd
num_direct_dependencies,-0.0564704664673212,0.0564704664673212
num_pinned_dependencies,0.01722106189563675,0.01722106189563675
num_floating_dependencies,0.0621038127218774,0.0621038127218774
total_version_releases,0.0942178724169144,0.0942178724169144
release_frequency_days,0.05240863369729379,0.05240863369729379
github_stars,0.1173556316530828,0.1173556316530828
github_forks,0.10611096733246188,0.10611096733246188
github_commits,0.24285505303513555,0.24285505303513555
github_maintainers,-0.15432383574548336,0.15432383574548336
scorecard_overall_score,-0.050074557140150806,0.050074557140150806
ecosystem_pypi,0.007487388538750827,0.007487388538750827
