,EventAggregation,EventAggregation,EventAggregation,EventAggregation,EventAggregation
,,analytic,pointwise conf. band,pointwise conf. band,pointwise conf. band
,ATT,std_error,lower,upper,zero_not_in_cband
relative_period,,,,,
-42,2.2213919980942354,0.5985666360139418,1.0482229491596138,3.3945610470288567,*
-41,0.9182215361298006,0.5011903423575721,-0.06409348429034023,1.9005365565499415,
-40,-0.07954621783010919,0.22446943730705374,-0.5194982305819061,0.3604057949216877,
-39,-3.2780767589144713,0.17815163176466467,-3.627247540960256,-2.9289059768686867,*
-38,-0.0411692073733767,0.19618997114566436,-0.42569448494683126,0.34335607020007786,
-37,0.18809164359451416,0.1730006663726132,-0.1509834317972373,0.5271667189862657,
-36,1.5429058632102621,1.3144595526779614,-1.0333875191731723,4.1191992455936965,
-35,-0.8076426162085393,1.1083666578252869,-2.980001347211131,1.3647161147940525,
-34,-0.5216104716681155,0.39369963359970145,-1.2932475742501457,0.25002663091391475,
-33,1.7524254588952286,1.5654362464328355,-1.3157732042066979,4.820624121997155,
-32,-1.7850842150241328,1.476878811281717,-4.6797134946666255,1.10954506461836,
-31,-0.5492913047490195,0.7980330255750868,-2.113407293349722,1.0148246838516826,
-30,0.6436178436525524,0.9832203940735567,-1.283458717596898,2.5706944049020026,
-29,0.23926944257067168,0.5486191157789736,-0.8360042655863267,1.31454315072767,
-28,-0.4678521887812625,0.3520524849147371,-1.157862379881978,0.22215800231945299,
-27,1.1114170958903455,1.4417644502453795,-1.714389300780789,3.93722349256148,
-26,0.27719290984557293,0.6065073373463693,-0.9115396277125958,1.4659254474037418,
-25,0.09760554963864096,0.17894431654118206,-0.25311886602021094,0.4483299652974928,
-24,0.7259252038227206,0.6378646025512373,-0.5242664441906604,1.9761168518361016,
-23,-0.4240068314711484,0.395766828156603,-1.199695560933743,0.35168189799144606,
-22,0.3516700773752299,0.4351303595820672,-0.501169755985585,1.2045099107360449,
-21,0.6312155250233612,0.4737406451191121,-0.29729907742286954,1.5597301274695918,
-20,-0.1980303688054266,0.33463054016095184,-0.8538941756480763,0.4578334380372232,
-19,0.14072351559666774,0.2978701501447584,-0.44309125075659717,0.7245382819499326,
-18,0.553981551863933,0.3606748650379129,-0.15292819373922095,1.260891297467087,
-17,0.48488616451898875,0.484737122701257,-0.46518113794504806,1.4349534669830255,
-16,-0.06557648217486367,0.17247998498089298,-0.40363104079142337,0.272478076441696,
-15,0.4702868697709369,1.2088023138386768,-1.8989221297815528,2.8394958693234265,
-14,0.4910709528392218,0.31586779818143823,-0.12801855547236346,1.1101604611508071,
-13,-0.0401558128867184,0.26834076359509845,-0.5660940451170883,0.48578241934365146,
-12,-0.035315571647021426,0.33163023546045994,-0.6852988893340608,0.6146677460400181,
-11,-0.20379805091327197,0.3623504842408879,-0.9139919498060607,0.5063958479795168,
-10,0.23555071352830084,0.24294346340420095,-0.24060972502335767,0.7117111520799594,
-9,0.20513475308781348,0.28452689870516906,-0.352527721007194,0.762797227182821,
-8,0.2660607619997279,0.16672127001530934,-0.06070692268705602,0.5928284466865118,
-7,0.15343310785103167,0.26467757742195125,-0.3653254114113045,0.6721916271133679,
-6,-0.1042614385627098,0.3952067056630851,-0.8788523481110784,0.6703294709856589,
-5,0.39753447345570636,0.3399168199714555,-0.26869025142773184,1.0637591983391446,
-4,0.3305001276416228,0.2973226465401728,-0.25224155136524845,0.913241806648494,
-3,-0.20087785332233732,0.7907393842019077,-1.7506985675154572,1.3489428608707823,
-2,1.1860307329737543,0.6456445852641417,-0.07940940095726345,2.451470866904772,
-1,0.6844121805185105,0.3860735999829798,-0.07227817082985355,1.4411025318668744,
0,0.44840108956647706,0.41207128650054425,-0.3592437910376758,1.25604597017063,
1,0.5895229453369716,0.41095382458364343,-0.21593175015596067,1.3949776408299037,
2,0.7038891375264684,0.468262305674205,-0.2138881169126592,1.621666391965596,
3,-0.6854256983026598,2.106410107715718,-4.813913646096603,3.443062249491284,
4,-1.0089883048545507,2.6037337422200135,-6.112212664937474,4.0942360552283725,
5,0.2903670156865826,1.2897102730180516,-2.237418669920119,2.818152701293284,
6,0.11439560914557435,1.5062656992457648,-2.8378309125241654,3.0666221308153143,
7,-0.27502590983485337,1.6343385048542363,-3.478270517896197,2.9282186982264897,
8,-0.29736158380423344,1.6080803109884014,-3.44914107758947,2.854417909981003,
9,0.5699869270341522,1.3427135995814201,-2.0616833696975667,3.201657223765871,
10,0.14282607390990007,1.461841529649677,-2.7223306753084087,3.0079828231282084,
11,0.13797795447439212,1.5683132466067267,-2.935859525351876,3.2118154343006604,
12,0.2090775035907678,1.6168484855407501,-2.9598872965272327,3.3780423037087686,
13,0.7801005455164306,1.227691728572884,-1.626131026604145,3.1863321176370065,
14,-0.5699288176909976,2.1662640194524014,-4.8157282768226795,3.6758706414406843,
15,-0.30704108576767813,2.095278265298557,-4.41371102334241,3.7996288518070536,
16,1.7681790058961635,1.1056250379994055,-0.3988062489884001,3.935164260780727,
17,0.02947943597566563,0.673171495618876,-1.2899124508562942,1.3488713228076255,
18,1.3529161922367534,0.6411447222882077,0.0962956276739313,2.6095367567995753,*
19,0.5584516018814565,0.6317324075689171,-0.6797211648203998,1.7966243685833128,
20,1.1792184487940542,0.7836584391991193,-0.35672386821709123,2.7151607658051997,
21,2.186896571442514,0.7170214824378146,0.7815602897228786,3.59223285316215,*
22,1.8757585209876493,0.7137894690081465,0.4767568691877129,3.2747601727875857,*
23,0.7970854091965379,0.7259962900372056,-0.6258411721860803,2.220011990579156,
24,1.0616401107930191,0.7330823502399444,-0.3751748933792498,2.498455114965288,
25,0.47770364117295777,0.7967299914172392,-1.0838584474077375,2.039265729753653,
26,0.5692994938870793,0.8032011299005516,-1.0049457930598793,2.1435447808340378,
27,1.6876119990905882,0.7830029158560408,0.1529544842229018,3.222269513958275,*
28,0.7465169871227791,0.7811238191611793,-0.7844575658995107,2.277491540145069,
29,0.668612982642742,0.7803033769269774,-0.8607535331491163,2.1979794984346004,
30,0.8237216107233817,0.7776323009264425,-0.7004096923074591,2.3478529137542226,
31,0.8226121905308154,0.7633342765695388,-0.6734954997104176,2.3187198807720484,
32,0.9384285507837898,0.7870554511003204,-0.6041717872087639,2.4810288887763434,
33,0.959493163833704,0.7902938029420828,-0.5894542271379729,2.508440554805381,
34,0.7619385977094237,0.7644030719703301,-0.736263893024202,2.2601410884430493,
35,3.0270732525829893,0.9692881500572794,1.1273033878292662,4.926843117336713,*
36,3.5389572151431086,1.129809723122836,1.3245708484391798,5.753343581847037,*
37,4.287127252122577,1.2293950596521885,1.8775572124328161,6.696697291812338,*
38,4.1667912305227945,1.237020940883246,1.742274738269781,6.591307722775808,*
40,0.09716503505817187,1.0063671019395084,-1.8752782399692138,2.069608310085558,
41,0.6542949529614788,0.9739551368398255,-1.2546220378023591,2.5632119437253165,
42,0.585428853015451,0.9708695577076033,-1.3174405137777832,2.4882982198086854,
43,0.6602250241519307,0.9851873457471728,-1.270706691537138,2.5911567398409994,
44,1.053314088191882,0.8872659022471902,-0.6856951249230467,2.792323301306811,
45,0.6979962464963507,0.9748788401135865,-1.2127311694164606,2.608723662409162,
46,0.7233041065887273,0.964669731420379,-1.1674138239711425,2.6140220371485974,
