dose_variable,mu_at_p5,mu_at_p95,slope_p5_to_p95,endpoints_ci_nonoverlapping
num_dependencies,0.0323188802722324,0.477804987947407,0.013921440864849213,True
num_pinned_deps,0.3018458927966658,0.338016803554551,0.0012918182413530427,False
num_floating_deps,0.7956241892969229,0.2046654832466325,-0.008323362057046344,True
release_frequency,0.7011466289985149,0.2757595942656639,-0.0007790971332103498,True
stars,0.6998834220393678,0.3309779592700863,-7.053844061092266e-05,True
forks,0.3810550534808061,0.9210408627583602,0.0007209423354840508,True
commits,0.0918747900028004,0.1105238615566545,2.2164730260994506e-06,False
maintainers,0.1139818810810572,0.4201006929748012,0.009874800383669162,True
