dose,mu,ci_lower,ci_upper
0.0,0.6998834220393678,0.6560070097671143,0.7522262501984199
0.6091159810107006,0.653379695836425,0.6157753222842189,0.698522704139652
1.5892542403440293,0.6155412093132843,0.5789956181325957,0.6543503369404223
3.1664103770372987,0.6308166525863933,0.5931535472018359,0.6686644081902724
5.704237521139537,0.6567804557206449,0.6177537368100493,0.6965525840245568
9.787895735757195,0.6603755941930342,0.6222656273906435,0.70307394480099
16.358975429884087,0.6445277122602058,0.6088684530931149,0.6842509406353194
26.93260477819858,0.6233194873472568,0.5886783189910882,0.6628272864772911
43.9468007398552,0.6025864990433236,0.5699093239492061,0.642265709222287
71.32461536580459,0.580529041339543,0.5496857545031067,0.6175063122208257
115.37869440556825,0.5585422960412925,0.5292911262375024,0.5954214514977461
186.26681701716052,0.5376974575800684,0.5084609294548087,0.5759462702214292
300.3340279753194,0.5149408783120616,0.4853140212655843,0.5536514985825096
483.881400037412,0.4901766309925632,0.45934388116780617,0.5279620796031688
779.2304096950422,0.46553733439191136,0.4321348545980994,0.5025709608011524
1254.4812211108188,0.43807374457516685,0.40349417386785,0.4781079621190842
2019.2148967482478,0.40485000150340444,0.3694678614626093,0.44781297511829726
3249.7600754334853,0.3682990385971483,0.33120630960646835,0.4097614378389348
5229.849987811577,0.3309779592700863,0.29323897529735937,0.3716770278428272
