dose,mu,ci_lower,ci_upper
6.0,0.7011466289985149,0.6746939754976128,0.7316126175738608
36.33333333333333,0.5578830315917398,0.5399917966941619,0.5790219253566392
66.66666666666666,0.4278420905445383,0.41580191050670057,0.44071060608743223
97.0,0.3136800078932392,0.3035119013838558,0.32404102312406974
127.33333333333333,0.21747904688940356,0.2089698745873562,0.22673921858420584
157.66666666666666,0.14059684731691824,0.13139318345718376,0.14881139814216152
188.0,0.08356729313163337,0.07454747689749355,0.09161907192017711
218.33333333333331,0.046063029732274094,0.03869781692248973,0.05376537088581429
248.66666666666666,0.02692327677483614,0.01880019635730447,0.03391684267550033
279.0,0.02424368029907447,0.015237282110351535,0.032074159810267615
309.3333333333333,0.03551852918042459,0.023049566607084373,0.04499223299767325
339.66666666666663,0.05782057306448248,0.04284264289242285,0.07119977854705371
370.0,0.08800054714754171,0.07044856385394654,0.10582534298941522
400.3333333333333,0.12288764415372413,0.10291425238181331,0.1444203087060603
430.66666666666663,0.1594735390937979,0.13690734600832696,0.18300181791967218
461.0,0.1950658134424943,0.17194027946558305,0.21886704759341835
491.3333333333333,0.2274011516104734,0.20375747258137286,0.25170358036500556
521.6666666666666,0.2547137817429518,0.22819115703478957,0.2800873233434917
552.0,0.27575959426566393,0.24867910741210267,0.29937051708973134
