dose,mu,ci_lower,ci_upper
0.0,0.03231888027223242,0.009112044177403415,0.05301695318181887
0.2144003551176234,0.11968559369798715,0.09910996355275777,0.13850520579765152
0.4747682225098098,0.19865808226432308,0.17825190337887312,0.21746583038745837
0.7909590531320994,0.2685470150491767,0.2502024195058797,0.2875713475683267
1.174941310124744,0.328483322502867,0.30967269764461475,0.34932747184121
1.6412494993754783,0.3773804935630863,0.3582228100816086,0.3988206250227709
2.2075343299958257,0.4140796562324651,0.3966782036314281,0.43442759323520447
2.8952308293988986,0.43779674253807577,0.423322893795574,0.45662262810290805
3.730369702487138,0.44881696696260515,0.4361750396213493,0.4664042990231921
4.744562646538028,0.4491267849111707,0.4366486641494565,0.46565395359188344
5.976198917951214,0.4425323646339677,0.43073231599845047,0.4562186754257279
7.471898443331134,0.4339781577881093,0.4227213486079933,0.44917770848932626
9.288276478101771,0.42822143852989264,0.4165679498650042,0.44295248110428903
11.494086608555083,0.42843534759289326,0.41589874572785984,0.44463954571291475
14.172823214299632,0.4353712950547147,0.42298733064329563,0.4497907523152799
17.425881899582397,0.44737378353684965,0.4350491605248735,0.4637708433362891
21.376397522208254,0.46109345315858113,0.44800685682902236,0.47949523822912204
26.173905097222814,0.4724981809206453,0.45600054403756946,0.49248907025519345
31.999999999999986,0.477804987947407,0.45493478890679606,0.4986745540050321
