dose,mu,ci_lower,ci_upper
0.0,0.3018458927966658,0.28654951439703585,0.3191266852981633
0.20571408195130353,0.3234211268856048,0.3103108141282537,0.3345240683655295
0.45374644741567466,0.3341824546984776,0.32279424181746635,0.3453043593461014
0.752802563235759,0.34143062624510606,0.32905985981220287,0.3543431165524717
1.1133787333736949,0.3511535670620061,0.3372531753582431,0.36513624419838514
1.5481304993250733,0.36650849609470143,0.35277890258213834,0.3804793649188486
2.072316825685847,0.3872799185725711,0.3724171990815896,0.40265579593519735
2.7043356609453544,0.4104043981530108,0.39336147772931457,0.4266749604524479
3.4663696706762033,0.43128291503297145,0.41131124898140026,0.45001253561281684
4.385164807134505,0.44538068292830524,0.4239591533046952,0.4658350524691529
5.492969041590648,0.4495999180041609,0.42526179322912244,0.47372240814629435
6.828664207119702,0.4430678194553186,0.41614694657994145,0.4701497565494044
8.43913067739236,0.42722068031587723,0.40007045320059564,0.4562359274705239
10.380892779110518,0.40529068929899226,0.37903969214817534,0.43535742492104273
12.722102688951454,0.38144738136013323,0.35542495120270073,0.4116238784808196
15.54493244605062,0.3598846730423375,0.3347566567706434,0.3893129601414233
18.948458035136255,0.3440898937719569,0.3195297914290096,0.3731645894467153
23.05213676617841,0.3364227121870345,0.31020274628496386,0.36562093518070965
28.000000000000004,0.338016803554551,0.3103994593181172,0.3679745766181926
