dose,mu,ci_lower,ci_upper
0.0,0.09187479000280044,0.011186652142381195,0.16193329075391438
0.652182935030267,0.17220078740770367,0.10230625076952239,0.23356528876778868
1.7297084508052276,0.23802885796795617,0.17659146925727123,0.29374421130968753
3.509977720028304,0.2907634460639117,0.23857020946235175,0.34084019760117146
6.451308226397476,0.33216226593984566,0.2872572126923291,0.3795783852303752
11.310924295304554,0.3638023049491839,0.3230283102889631,0.40872730903953053
19.3398990351517,0.3876244779063539,0.350137000507247,0.43098686784107987
32.60523408611623,0.40564431501517034,0.3688666996476479,0.4460677630808152
54.52199428477869,0.41875593256931376,0.38503215955206627,0.45562165381085845
90.73249147615932,0.42616288024945315,0.39550291283156497,0.45877216770838913
150.55885700471995,0.42605212020903993,0.39860316816299507,0.45491233997999364
249.40295719589085,0.4167336330237849,0.39304203768770896,0.44187262565076824
412.7114927601651,0.3973784016676067,0.3766092757921998,0.4196320132507802
682.5270683642424,0.36814883360292994,0.3496771506498194,0.3875868814653729
1128.3117579826683,0.32994395210463484,0.31445975499482076,0.34618882263222994
1864.8296148679965,0.2840043167864918,0.2713415053681081,0.29858797874657195
3081.691849358998,0.2315420661412609,0.22030156243242066,0.24664548366298739
5092.170867467828,0.17351055866558648,0.15902580798253863,0.19175897227282826
8413.849992423658,0.11052386155665454,0.09136987354879349,0.1355510447381233
