dose,mu,ci_lower,ci_upper
0.0,0.7956241892969229,0.7432934050719664,0.8695108854947642
0.26819237799349466,0.7699967156160136,0.7245517106578961,0.8366303892085972
0.6083119076007949,0.7355983879876979,0.6960684486537626,0.793400378160087
1.0396489026555058,0.6940015875101713,0.6591261521047818,0.7399612854735483
1.5866671921305078,0.6478446859984892,0.6196809290132913,0.6858515930677879
2.2803916174657437,0.6004278214282741,0.5777560423306207,0.6284522542942145
3.1601676461038086,0.555032129071768,0.5355853057088068,0.5785005003871945
4.2758928999639885,0.5141539833336105,0.496441188281717,0.5331780280911224
5.6908471628443245,0.47892252451379347,0.46152096169737744,0.4960746332219701
7.48528137423857,0.44895367997316027,0.43235310308131236,0.46525231571657344
9.760969163939519,0.4227377503838918,0.40746584065184216,0.43731331364819376
12.646979073531131,0.39838879222263646,0.38416457406015697,0.4116089566274298
16.3069948436889,0.37436748405704673,0.3608394570847263,0.38623773982636744
20.94859894673898,0.34981383392315946,0.33587728631135133,0.36284052152637236
26.835045891890427,0.3243965492641929,0.31065377106709674,0.33625395607799974
34.30019304119457,0.2978868087201012,0.28399198293842315,0.31016297249592956
43.76743575654195,0.26977206885309096,0.25616166628777987,0.28040871771448855
55.773720808759954,0.23911393883813578,0.2240798288275931,0.2497413054791048
71.0,0.20466548324663253,0.18812899947637826,0.2204275065139915
